cluster_id,travel_mode,place_id,user_location,commute
3acf8ebf-6d67-4b08-9e0a-1d952afba8fd,driving,ChIJW1r3dSmXQIYR7bY1eeCBlwc,"coffee shop",6.583333333333333
ed51183f-7e5f-4c21-b7c6-243ac909f483,driving,ChIJGbT4CTCTQIYRm3Xt-xVFCs8,"coffee shop",5
96b9c6e9-3ada-4699-ae0c-c0b2132046b9,driving,ChIJFwXBfuHtQIYRfXVQ68JGDtE,"coffee shop",2.783333333333333
a41ee329-5264-4bfb-a1c6-49f6de66daa7,driving,ChIJW1r3dSmXQIYR7bY1eeCBlwc,"coffee shop",6.8
d00ecd6c-dbbc-42a9-ab58-13ed7d1c8174,driving,ChIJITVLohuRQIYRHUrYfANb_pU,"coffee shop",3.85
89dd8ac3-68ee-4450-afe5-0a644d2fd791,driving,ChIJpy1LFqqRQIYRAyMmYb_etzc,"coffee shop",9.133333333333333
82bc8e34-8ba4-46e6-a976-dc0cc093b419,driving,ChIJW1r3dSmXQIYR7bY1eeCBlwc,"coffee shop",6.733333333333333
c17a6598-0480-425d-96d4-ee7913fe0a3f,driving,ChIJFwXBfuHtQIYRfXVQ68JGDtE,"coffee shop",4.066666666666666
9b6ad16e-4204-44a5-847b-c79000e3f925,driving,ChIJPYxrLqGTQIYRCs6ALSmYBas,"coffee shop",5.183333333333334
8c59dffd-6a86-4397-8e16-76ad48ea10da,driving,ChIJPYxrLqGTQIYRCs6ALSmYBas,"coffee shop",7.216666666666667
8701d12a-cb8a-458d-be09-f6731e957e60,driving,ChIJGfa37H-QQIYR3QoGKBoiqSQ,"coffee shop",5.05
3874b438-b3de-4bab-832e-08c12146b290,driving,ChIJjz2QFDuTQIYRhh-T5BxQVfk,"coffee shop",5.683333333333334
9ef27112-9422-4ed7-a434-b1b9d94e660a,driving,ChIJITVLohuRQIYRHUrYfANb_pU,"coffee shop",7.55
9f48bec7-256a-4b75-9c3c-44068c5b3209,driving,ChIJpy1LFqqRQIYRAyMmYb_etzc,"coffee shop",5.05
508f348f-a552-450c-a8cb-5ec64d3794eb,driving,ChIJzbUN2eSQQIYR9L0Yxoy9RA0,"coffee shop",2.933333333333333
25689718-ad60-4f5e-9fb7-d575829e5a24,driving,ChIJPYxrLqGTQIYRCs6ALSmYBas,"coffee shop",6.583333333333333
ac3dea3d-2ed8-4f10-a306-76097975a162,driving,ChIJGfa37H-QQIYR3QoGKBoiqSQ,"coffee shop",4.166666666666667
939c746e-26aa-401a-874b-d7d8ef2d6b08,driving,ChIJPYxrLqGTQIYRCs6ALSmYBas,"coffee shop",4.6
f0b089b4-dc66-4b30-bc95-9e6d1de84f1e,driving,ChIJPYxrLqGTQIYRCs6ALSmYBas,"coffee shop",2.95
891405a5-6bb2-4865-a5ae-a405b2e52f4d,driving,ChIJQ6IVP1STQIYRuh6NWymayH0,"coffee shop",6.416666666666667
52e43c50-0a1d-4290-accc-d8b575097f94,driving,ChIJdTg1ovyQQIYRg2x2J5lp4qU,"grocery store",11.28333333333333
e7671d9b-d187-45a6-a5b6-babae0abdf07,driving,ChIJdTg1ovyQQIYRg2x2J5lp4qU,"grocery store",7.6
1625ab3d-e30e-4725-b8cf-36ef3ed6f614,driving,ChIJP7qLfxyRQIYRVHVOMutJ2yM,"grocery store",4.833333333333333
75f6a848-69ba-4485-8875-05509fc9b007,driving,ChIJNcolcjSTQIYR_JBVh2s_dxs,"grocery store",5.366666666666666
e6bc022c-d962-43df-b991-38ed57f84d69,driving,ChIJP7qLfxyRQIYRVHVOMutJ2yM,"grocery store",6.016666666666667
d1fef248-3592-4826-837d-d273c54ac55a,driving,ChIJczc-EmuRQIYRtC5QM9Tvh_w,"grocery store",3.266666666666667
fec62dc0-0e60-410b-9411-3d2ce4170b23,driving,ChIJP7qLfxyRQIYRVHVOMutJ2yM,"grocery store",9.716666666666667
e48af93b-537f-4863-aeee-15177f97cb46,driving,ChIJG7ORP8eTQIYRgKkxtJELEXc,"grocery store",3.133333333333333
f814d253-2784-45f7-a63f-e3a09600fd24,driving,ChIJuQxl7KaTQIYRyPirfssdfIs,"grocery store",6.266666666666667
947b1668-6c16-4e84-94d0-02bd3b80835d,driving,ChIJtyFxqTOTQIYRGI2k46HVzwI,"grocery store",5.583333333333333
6ae017d1-4fab-4523-995f-7054bffb56b5,driving,ChIJG7ORP8eTQIYRgKkxtJELEXc,"grocery store",5.1
c8f9da26-8242-404c-8daf-241e36ee9700,driving,ChIJIZaJvrabQIYRH_oSGCNYs84,"grocery store",7.45
63318faf-aa41-49ec-b0cb-11f96716fa7f,driving,ChIJP7qLfxyRQIYRVHVOMutJ2yM,"grocery store",10.85
7adfa93f-aeda-4806-9a42-087faebce90c,driving,ChIJG2-4ozTtQIYRckmNol7WmMc,"grocery store",8.5
c707bd06-98b6-44f9-af81-0225a9c2ead7,driving,ChIJtyFxqTOTQIYRGI2k46HVzwI,"grocery store",5.9
d344f891-6c44-476f-9c75-2c3640105e8c,driving,ChIJNcolcjSTQIYR_JBVh2s_dxs,"grocery store",6.133333333333334
67bf2034-cc45-4895-9e1b-561f5ce62846,driving,ChIJlSds86zsQIYRMx8-5fbAgR4,"grocery store",6.833333333333333
03b17ec1-14fa-485c-b6bc-177a055dda9e,driving,ChIJIZaJvrabQIYRH_oSGCNYs84,"grocery store",8.65
bb01fd8b-f6b4-4cbd-b8d9-9c7195b84252,driving,ChIJ83ktcDiSQIYRMxB7j8Vqe_0,"grocery store",4.75
c7cc3e8e-bb76-49aa-8fda-91c8af42637e,driving,ChIJtyFxqTOTQIYRGI2k46HVzwI,"grocery store",4.516666666666667
ac232e09-ec0d-40f8-aab3-9c4a8a62c5bc,driving,ChIJP7qLfxyRQIYRVHVOMutJ2yM,"grocery store",3.9
30da970d-961d-496b-b35a-7a26426f8317,driving,ChIJP7qLfxyRQIYRVHVOMutJ2yM,"grocery store",2.433333333333333
